2.5万/月,27.78元/m²/天,30m²,商业街店铺,36个月,嘉定区 -嘉定周边,上海市嘉定区城中街23,2.5万/月,押2付3,36个月,物业类型,二手房,商业街店铺-临街,经营中,餐饮美食-小吃店,1层/共1层,面宽3m、层高3.5m、进深10m,办公、居民、旅游,暂无数据,"['网络', '上水', '下水', '排污', '中央空调']","[['地铁11号线', 'A', '嘉定北', '距离1.49km']]"
1.01万/月,2.5元/m²/天,135m²,商业街店铺,12个月,嘉定区 -江桥新城,海波路嘉涌路,1.01万/月,押2付3,12个月,物业类型,新房,商业街店铺-临街,空置中,教育培训-培训机构,3层/共4层,面宽11m、层高4m、进深9m,办公、学生、居民,物业费15元/m²/天,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁11号线', 'A', '桃浦新村', '距离1.93km']]"
3600元/月,10元/m²/天,12m²,写字楼配套,24个月,嘉定区 -江桥新城,华泰中心,3600元/月,押3付3,24个月,物业类型,新房,写字楼配套-临街,空置中,暂无数据,1层/共11层,面宽2m、层高4m、进深6m,办公、学生、居民,暂无数据,"['网络', '暖气', '上水', '下水', '排烟', '排污', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁13号线', 'A', '金运路', '距离0.50km']]"
2.5万/月,27.78元/m²/天,30m²,商业街店铺,36个月,嘉定区 -嘉定周边,上海市嘉定区城中街23,2.5万/月,押2付3,36个月,物业类型,二手房,商业街店铺-临街,经营中,餐饮美食-小吃店,1层/共1层,面宽3m、层高3.5m、进深10m,办公、居民、旅游,暂无数据,"['网络', '上水', '下水', '排污', '中央空调']","[['地铁11号线', 'A', '嘉定北', '距离1.49km']]"
1.2万/月,8.89元/m²/天,45m²,购物百货中心,36个月,嘉定区 -江桥新城,华江路988号,1.2万/月,押1付2,36个月,物业类型,二手房,购物百货中心-临街,空置中,餐饮美食-快餐店,1层/共1层,面宽6.2m、层高4.5m、进深7m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁13号线', 'A', '金运路', '距离0.36km']]"
11.25万/月,2.5元/m²/天,1500m²,商业街店铺,36个月,嘉定区 -嘉定城区,仓场路428号,11.25万/月,押3付3,36个月,物业类型,二手房,商业街店铺-临街,空置中,暂无数据,2层/共3层,面宽55m、层高4.5m、进深33m,办公、学生、居民,暂无数据,"['上水', '下水', '客梯']","[['嘉定11路', 'A', '嘉珉小区', '距离0.42km']]"
1.6万/月,4.44元/m²/天,120m²,商业街店铺,36个月,嘉定区 -嘉定城区,万达广场(上海江桥店),1.6万/月,押3付3,36个月,物业类型,二手房,商业街店铺-临街,空置中,餐饮美食-餐馆,2层/共2层,面宽8m、层高5.7m、进深13m,办公、学生、居民,"物业费15元/m²/天,电费1元/度,水费5元/吨","['上水', '下水', '排烟', '管煤', '380v']","[['地铁13号线', 'A', '金运路', '距离0.40km']]"
8000元/月,10.67元/m²/天,25m²,购物百货中心,24个月,嘉定区 -嘉定新城,嘉定宝龙广场,8000元/月,押2付3,24个月,物业类型,新房,购物百货中心-临街,空置中,暂无数据,1层/共1层,面宽4m、层高6m、进深6m,暂无数据,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁11号线', 'A', '白银路', '距离1.46km']]"
6000元/月,6.67元/m²/天,30m²,商业街店铺,36个月,嘉定区 -嘉定周边,嘉定区,6000元/月,押2付2,36个月,物业类型,新房,商业街店铺-临街,空置中,餐饮美食-餐馆,1层/共1层,面宽5m、层高4m、进深6m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '中央空调', '外摆区', '可明火']","[['嘉定14路; 嘉定1路; 嘉定58路; 嘉定6路', 'A', '嘉戬公路迎园路', '距离0.05km']]"
5.04万/月,3.5元/m²/天,480m²,购物百货中心,12个月,嘉定区 -安亭,兆丰路,5.04万/月,押3付3,12个月,物业类型,新房,购物百货中心-临街,空置中,餐饮美食-餐馆,3层/共5层,面宽5m、层高4.9m、进深8m,办公、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁11号线', 'A', '兆丰路', '距离0.00km']]"
7680元/月,4.65元/m²/天,55m²,临街门面,24个月,嘉定区 -嘉定城区,平城路胜辛路,7680元/月,押3付3,24个月,物业类型,二手房,临街门面-临街,经营中,餐饮美食-餐馆,1层/共1层,面宽5m、层高5m、进深11m,办公、学生、居民,暂无数据,"['上水', '下水', '排烟', '排污', '380v', '中央空调']","[['地铁11号线', 'A', '嘉定西', '距离0.72km']]"
2.4万/月,4元/m²/天,200m²,临街门面,60个月,嘉定区 -南翔,烨南俱乐部,2.4万/月,押3付3,60个月,物业类型,新房,临街门面-临街,空置中,暂无数据,1层/共1层,面宽20m、层高4.9m、进深10m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁11号线', 'A', '南翔', '距离1.66km']]"
3.79万/月,8元/m²/天,158m²,写字楼配套,12个月,嘉定区 -嘉定周边,上海市闵行区宁虹路,3.79万/月,押2付3,12个月,物业类型,新房,写字楼配套-临街,空置中,餐饮美食-冷饮甜品店,-1-3层/共5层,面宽12m、层高4.5m、进深7m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '可明火']","[['地铁10号线; 地铁17号线; 地铁2号线', 'A', '虹桥火车站', '距离1.83km']]"
7.02万/月,6元/m²/天,390m²,商业街店铺,36个月,嘉定区 -丰庄,清峪路/新郁路(路口),7.02万/月,押2付3,36个月,物业类型,新房,商业街店铺-临街,空置中,餐饮美食-餐馆,1层/共5层,面宽15m、层高4m、进深18m,办公、学生、居民,暂无数据,"['上水', '下水', '排污', '380v', '货梯', '客梯', '可明火']","[['地铁13号线', 'A', '丰庄', '距离0.47km']]"
